ui_category,keywords,recommended_pattern,style_priority,color_mood,type_mood,key_effects,anti_patterns
SaaS,"saas,software,b2b,cloud",Hero + Features + CTA,Glassmorphism + Flat,Trust blue + accent contrast,Professional + hierarchy,Subtle hover 200ms + smooth transitions,Excessive animation; dark mode by default
E-commerce,"ecommerce,shop,store,retail",Feature-rich showcase,Vibrant + block-based,Brand primary + success green,Engaging + clear hierarchy,Card hover lift 200ms + scale,Flat with no depth; text-heavy pages
Fintech,"fintech,crypto,banking,payments",Trust & authority,Minimalism + accessible,Navy + trust blue + gold,Professional + trustworthy,Smooth state transitions + number animations,Playful design; unclear fees; AI purple/pink gradients
Healthcare,"health,medical,clinic,patient",Social-proof focused,Neumorphism + accessible,Calm blue + health green,Readable + large type 16px+,Soft shadow + smooth press 150ms,Neon colors; motion-heavy; AI purple/pink gradient
Creative,"agency,creative,studio,design",Storytelling-driven,Brutalism + motion,Bold primaries + artistic freedom,Bold + expressive,Scanlines + neon glow + glitch,Corporate minimalism; hidden portfolio
AI,"ai,chatbot,ml,assistant",Interactive demo + minimal,AI-native + minimalism,Neutral + AI purple,Modern + clear,Streaming text + typing indicators + fade-in,Heavy chrome; slow response feedback
Education,"education,learning,school,course",Feature-rich showcase,Claymorphism + micro-interactions,Playful + clear hierarchy,Friendly + engaging,Soft press 200ms + fluffy elements,Dark modes; complex jargon
Productivity,"productivity,task,workflow,tool",Interactive demo + feature-rich,Flat + micro-interactions,Clear hierarchy + functional,Clean + efficient,Quick actions 150ms + task animations,Complex onboarding; slow performance
Financial Dashboard,"dashboard,finance,data,admin",Data-dense dashboard,Dark mode + data-dense,Dark bg + red/green alerts + trust blue,Clear + readable,Real-time number animations + alert pulse,Light mode default; slow rendering
Analytics Dashboard,"analytics,dashboard,metrics,data",Data-dense + drill-down,Data-dense + heatmap,Cool-to-hot gradients + neutral grey,Clear + functional,Hover tooltips + chart zoom + filter animations,Ornate design; no filtering
Portfolio,"portfolio,personal,showcase,work",Storytelling-driven,Motion + minimalism,Brand primary + artistic,Expressive + variable,Parallax 3-5 layers + scroll reveals,Corporate templates; generic layouts
Gaming,"game,gaming,esports,play",Feature-rich showcase,3D + retro-futurism,Vibrant + neon + immersive,Bold + impactful,WebGL 3D rendering + glitch,Minimalist design; static assets
Government,"government,public,civic,service",Minimal & direct,Accessible + minimalism,Professional blue + high contrast,Clear + large,Clear focus rings 3-4px + skip links,Ornate design; low contrast; motion; AI gradients
Social Media,"social,community,feed,network",Feature-rich showcase,Vibrant + motion,Vibrant + engagement colors,Modern + bold,Large scroll animations + icon animations,Heavy skeuomorphism; accessibility ignored
Cybersecurity,"cyber,security,threat,soc",Trust & authority + real-time,Cyberpunk + dark mode,Matrix green + deep black,Technical + clear,Threat visualization + alert animations,Light mode; poor data viz
Developer Tool,"dev,ide,cli,tooling",Minimal + documentation,Dark mode + minimalism,Dark syntax theme + blue focus,Monospace + functional,Syntax highlighting + command palette,Light mode default; slow performance
Real Estate,"realestate,property,housing,listings",Hero-centric + feature-rich,Glassmorphism + minimalism,Trust blue + gold + white,Professional + confident,3D tour zoom + map hover,Poor photos; no virtual tours
Travel,"travel,tourism,booking,vacation",Storytelling-driven + hero,Aurora + motion,Vibrant destination + sky blue,Inspirational + engaging,Destination parallax + itinerary animations,Generic photos; complex booking
Music Streaming,"music,streaming,audio,playlist",Feature-rich showcase,Dark mode + vibrant block,Dark + vibrant accents + album-art colors,Modern + bold,Waveform visualization + playlist animations,Cluttered layout; poor player UX
Video Streaming,"video,streaming,ott,watch",Hero-centric + feature-rich,Dark mode + motion,Dark bg + poster colors + brand accent,Bold + engaging,Player animations + content carousel parallax,Static layout; slow video player
Marketplace,"marketplace,p2p,listings,sellers",Feature-rich + social proof,Vibrant block + flat,Trust + category colors + success green,Modern + engaging,Review star animations + listing hover,Low trust signals; confusing layout
Restaurant,"restaurant,food,menu,dining",Hero-centric + conversion,Vibrant block + motion,Warm orange/red/brown,Appetizing + clear,Food image reveal + menu hover,Low-quality imagery; outdated hours
Fitness,"fitness,gym,workout,training",Feature-rich + data,Vibrant block + dark mode,Energetic orange + dark bg,Bold + motivational,Progress ring animations + achievement unlocks,Static design; no gamification
News Media,"news,media,articles,publishing",Hero-centric + feature-rich,Minimalism + flat,Brand colors + high contrast,Clear + readable,Breaking-news badge + article reveal,Cluttered layout; slow loading
Job Board,"jobs,recruitment,hiring,careers",Conversion-optimized + feature-rich,Flat + minimalism,Professional blue + success green + neutral,Clear + professional,Search/filter animations + application flow,Outdated forms; hidden filters
Personal Finance,"budget,expense,savings,wallet",Interactive product demo,Glassmorphism + dark mode,Calm blue + success green + alert red + chart accents,Modern + clear hierarchy,Backdrop blur 10-20px + translucent overlays,Pure white backgrounds
Chat App,"chat,messaging,dm,realtime",Feature-rich showcase + demo,Minimalism + micro-interactions,Brand primary + bubble contrast + typing grey,Professional + clean hierarchy,Subtle hover 200ms + smooth transitions,Excessive decoration
Notes App,"notes,writing,editor,markdown",Minimal & direct,Minimalism + flat,Clean white/cream + minimal accent + editor syntax,Professional + clean hierarchy,Color-shift hover + fast 150ms + no shadows,Excessive decoration; complex shadows; 3D effects
Food Delivery,"delivery,food,order,on-demand",Hero-centric + feature-rich,Vibrant block + motion,Appetizing warm + trust blue + map accent,Energetic + bold + large,Scroll animations + parallax + page transitions,Muted colors; low energy
Meditation,"meditation,mindfulness,calm,sleep",Storytelling-driven + social proof,Neumorphism + soft UI,Ultra-calm pastels + breathing animation hues,Subtle + soft + monochromatic,Dual shadows + soft press 150ms,Inconsistent styling; poor contrast
Mental Health,"mentalhealth,therapy,mood,wellbeing",Social-proof focused,Neumorphism + accessible,Calm pastels + trust colors,Calming + readable,Soft press + breathing animations,Bright neon; motion overload
Knowledge Base,"docs,documentation,help,faq",FAQ + minimal,Minimalism + accessible,Clean hierarchy + minimal color,Clear + readable,Search highlight + smooth scrolling,Poor navigation; no search
Booking,"booking,appointment,schedule,slot",Conversion-optimized,Soft UI + flat,Trust blue + available green + booked grey,Bold + clean + sans-serif,Color-shift hover + fast 150ms + no shadows,Complex shadows; 3D effects
Password Manager,"password,vault,2fa,secure",Trust & authority + feature-rich,Minimalism + accessible,Trust blue + security green + dark neutral,Professional + clean hierarchy,Subtle hover 200ms + smooth transitions,Excessive decoration; color-only indicators
Dating App,"dating,match,profile,swipe",Social proof + feature-rich,Vibrant block + motion,Warm romantic pink/red gradients,Modern + friendly,Profile card swipe + match animations,Generic profiles; no safety
Luxury Brand,"luxury,premium,elegant,exclusive",Storytelling + feature-rich,Liquid glass + glassmorphism,Black + gold + white,Elegant + refined,Slow parallax + premium reveals 400-600ms,Cheap visuals; fast animations
Non-profit,"charity,nonprofit,donation,cause",Storytelling + trust,Accessible + organic biophilic,Cause-related + trust + warm,Heartfelt + readable,Impact counter animations + story reveals,No impact data; hidden financials
E-learning,"course,elearning,lms,certificate",Feature-rich + social proof,Claymorphism + vibrant block,Vibrant learning colors + progress green,Friendly + engaging,Progress bar animations + certificate reveals,Boring design; no gamification
Banking,"bank,banking,deposit,loan",Trust & authority + feature,Minimalism + accessible,Navy + trust blue + gold,Professional + trustworthy,Smooth number animations + security indicators,Playful design; poor security UX; AI gradients
Design System,"designsystem,components,library,tokens",Feature-rich + documentation,Minimalism + accessible,Clear hierarchy + code-like structure,Monospace + clear,Code-copy animations + component previews,Poor documentation; no live preview
